team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
BOS,2016,BOS,2016020442,BOS,PIT,AWAY,20161214,Team Level,5on5,0.5089,0.5253,0.4933,2846.0,28.249,2.432,1.828,7.47,0.901,13.808,10.561,2.3,2.566,2.425,32.0,5.0,15.0,52.0,3.0,6.0,1.0,5.0,1.0,11.0,11.0,29.0,34.0,4.0,8.0,32.0,26.0,4.0,1.0,28.0,5.0,4.0,0.681,0.662,1.089,2.0,0.0,1.0,53.734,37.0,38.213,0.0,0.387,1.226,1.226,1.593,1.675,1.654,27.707,2.347,1.967,6.402,0.831,14.807,11.645,2.277,2.248,2.181,29.0,9.0,9.0,47.0,1.0,1.0,0.0,8.0,1.0,15.0,12.0,28.0,37.0,2.0,4.0,23.0,32.0,11.0,7.0,26.0,11.0,1.0,0.739,1.402,0.206,1.0,0.0,0.0,45.593,38.0,36.943,4.0,0.413,0.183,0.183,2.577,2.468,2.393,0
CHI,2016,CHI,2016020259,CHI,CGY,AWAY,20161118,Team Level,4on5,0.1594,0.1333,0.2,480.0,1.662,0.117,0.067,0.17,0.039,0.393,1.213,0.117,0.117,0.117,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.007,0.111,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.015,0.0,0.0,0.133,0.133,0.133,5.147,0.617,0.498,1.088,0.208,3.792,1.797,0.613,0.617,0.613,5.0,3.0,5.0,13.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,5.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,4.0,0.0,0.172,0.445,0.0,0.0,0.0,0.0,13.0,8.0,8.0,0.0,0.12,0.112,0.112,0.626,0.626,0.623,0
CGY,2021,CGY,2021030172,CGY,DAL,HOME,20220505,Team Level,5on4,1.0,1.0,1.0,360.0,3.871,0.283,0.382,0.888,0.15,2.781,1.516,0.277,0.283,0.277,3.0,3.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,6.0,0.0,0.0,5.0,1.0,1.0,3.0,5.0,1.0,0.0,0.154,0.128,0.0,0.0,0.0,0.0,8.0,6.0,6.0,0.0,0.09,0.0,0.0,0.373,0.373,0.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
NSH,2010,NSH,2010020933,NSH,CBJ,HOME,20110227,Team Level,5on5,0.5371,0.4928,0.52,2752.0,19.172,1.439,1.134,4.542,0.587,10.25,8.048,1.438,1.364,1.363,21.0,5.0,8.0,34.0,2.0,1.0,0.0,4.0,0.0,7.0,12.0,19.0,24.0,7.0,14.0,14.0,21.0,10.0,8.0,21.0,4.0,1.0,0.649,0.447,0.343,2.0,0.0,0.0,32.766,26.0,25.082,3.0,0.232,0.048,0.048,1.623,1.54,1.54,17.9,1.24,1.039,3.923,0.516,9.7,7.582,1.238,1.302,1.3,17.0,7.0,11.0,35.0,0.0,0.0,0.0,3.0,0.0,10.0,11.0,17.0,24.0,3.0,6.0,16.0,23.0,4.0,5.0,21.0,1.0,2.0,0.61,0.114,0.517,0.0,0.0,0.0,36.119,24.0,24.541,2.0,0.209,0.0,0.0,1.449,1.521,1.518,0
L.A,2014,L.A,2014020004,L.A,S.J,HOME,20141008,Team Level,other,1.0,1.0,1.0,73.0,2.168,0.65,0.186,0.429,0.085,1.327,0.322,0.551,0.65,0.551,3.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.213,0.437,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.058,0.437,0.437,0.271,0.271,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OTT,2020,OTT,2020020064,OTT,WPG,HOME,20210121,Team Level,4on5,0.6986,0.1905,0.25,682.0,2.781,0.343,0.137,0.445,0.088,0.919,2.067,0.343,0.343,0.343,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,0.0,1.0,0.127,0.0,0.216,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.033,0.0,0.0,0.377,0.377,0.376,7.51,0.148,0.724,1.779,0.341,5.843,3.164,0.147,0.148,0.147,9.0,3.0,5.0,17.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,9.0,12.0,2.0,4.0,9.0,0.0,0.0,1.0,12.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0,17.0,12.0,12.0,0.0,0.183,0.048,0.048,0.284,0.284,0.282,0
PIT,2013,PIT,2013021028,PIT,DAL,HOME,20140318,Team Level,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
VAN,2011,VAN,2011021212,VAN,CGY,AWAY,20120405,Team Level,5on5,0.3052,0.5556,0.5849,2535.0,22.379,1.036,1.331,5.234,0.676,12.629,10.094,1.032,1.093,1.089,23.0,8.0,4.0,35.0,1.0,0.0,0.0,7.0,0.0,6.0,17.0,22.0,30.0,4.0,8.0,18.0,9.0,1.0,8.0,27.0,4.0,0.0,0.641,0.395,0.0,0.0,1.0,0.0,36.551,31.0,32.464,4.0,0.269,0.0,0.0,1.305,1.378,1.372,16.277,2.359,1.409,3.339,0.513,8.593,5.787,2.187,2.265,2.095,20.0,2.0,6.0,28.0,2.0,2.0,1.0,2.0,1.0,6.0,9.0,18.0,20.0,5.0,10.0,11.0,18.0,5.0,11.0,9.0,9.0,4.0,0.309,1.174,0.876,0.0,1.0,1.0,26.664,22.0,21.234,7.0,0.294,0.467,0.467,2.185,2.087,2.007,0
T.B,2016,T.B,2016020760,T.B,OTT,HOME,20170202,Team Level,5on4,1.0,1.0,1.0,360.0,3.347,0.319,0.293,0.666,0.112,2.479,1.131,0.317,0.319,0.317,4.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,5.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0,1.0,0.0,0.231,0.088,0.0,0.0,0.0,0.0,7.0,5.0,5.0,0.0,0.07,0.0,0.0,0.389,0.389,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NYI,2021,NYI,2021020266,NYI,CGY,HOME,20211120,Team Level,other,0.0371,0.5,0.5,74.0,1.177,0.048,0.115,0.214,0.041,1.215,0.368,0.047,0.048,0.047,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.029,0.0,0.0,0.076,0.076,0.075,1.132,1.246,0.02,0.029,0.029,0.297,0.38,1.213,1.246,1.213,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.246,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.006,0.0,0.0,1.252,1.252,1.219,0
