team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
OTT,2023,OTT,2023020566,OTT,BUF,HOME,20231231,Team Level,all,0.559,0.4173,0.4043,3600.0,28.028,3.544,1.698,6.227,0.943,13.732,11.855,3.449,3.582,3.486,31.0,7.0,15.0,53.0,5.0,3.0,0.0,6.0,0.0,9.0,15.0,26.0,33.0,5.0,10.0,31.0,24.0,7.0,14.0,23.0,9.0,6.0,0.641,1.105,1.798,1.0,3.0,1.0,55.862,38.0,39.251,7.0,0.369,0.771,0.771,3.142,3.18,3.16,41.489,2.796,2.634,11.225,1.33,21.693,16.321,2.754,2.78,2.738,46.0,10.0,18.0,74.0,1.0,6.0,0.0,14.0,0.0,18.0,17.0,45.0,55.0,3.0,6.0,31.0,33.0,6.0,13.0,49.0,4.0,3.0,1.207,0.499,1.091,0.0,1.0,0.0,70.489,56.0,54.465,7.0,0.599,0.817,0.817,2.579,2.555,2.533,0
NYR,2009,NYR,2009020039,NYR,WSH,AWAY,20091008,Team Level,all,0.6038,0.4138,0.4651,3600.0,29.94,3.862,2.076,6.206,0.863,15.239,11.755,3.707,4.021,3.858,29.0,11.0,8.0,48.0,4.0,3.0,0.0,8.0,0.0,13.0,12.0,25.0,36.0,8.0,16.0,25.0,16.0,13.0,11.0,25.0,10.0,5.0,0.689,1.274,1.899,1.0,2.0,1.0,49.59,40.0,41.346,7.0,0.456,0.949,0.949,3.368,3.484,3.445,32.86,2.534,2.421,7.018,0.959,20.445,12.624,2.494,2.483,2.443,28.0,18.0,22.0,68.0,3.0,0.0,0.0,8.0,2.0,19.0,14.0,25.0,43.0,4.0,8.0,36.0,22.0,15.0,17.0,35.0,11.0,0.0,1.319,1.215,0.0,1.0,2.0,0.0,66.425,46.0,45.409,10.0,0.562,0.0,0.0,3.096,3.036,2.987,0
CAR,2012,CAR,2012020615,CAR,BOS,HOME,20130413,Team Level,5on5,0.5655,0.5221,0.5465,3024.0,34.917,2.935,2.328,8.307,1.175,18.935,13.32,2.864,2.789,2.722,29.0,18.0,12.0,59.0,1.0,6.0,0.0,3.0,1.0,17.0,19.0,28.0,46.0,4.0,17.0,24.0,29.0,11.0,5.0,35.0,10.0,2.0,1.05,1.26,0.625,1.0,0.0,0.0,57.19,47.0,45.864,3.0,0.477,0.833,0.833,2.58,2.462,2.44,28.437,2.255,1.753,6.613,0.902,15.469,12.007,2.165,2.341,2.247,21.0,18.0,15.0,54.0,2.0,2.0,0.0,5.0,1.0,15.0,14.0,19.0,37.0,6.0,21.0,28.0,14.0,2.0,6.0,28.0,9.0,2.0,0.765,1.068,0.422,0.0,2.0,0.0,55.256,39.0,39.678,4.0,0.358,0.245,0.245,2.368,2.456,2.378,0
DET,2009,DET,2009020720,DET,CHI,HOME,20100117,Team Level,all,0.5582,0.536,0.5313,3900.0,36.331,3.417,2.387,8.007,1.111,20.462,15.616,3.34,3.269,3.194,38.0,13.0,16.0,67.0,3.0,0.0,0.0,9.0,2.0,21.0,16.0,35.0,48.0,5.0,13.0,26.0,35.0,11.0,8.0,36.0,13.0,2.0,1.097,1.72,0.601,2.0,1.0,0.0,64.127,51.0,48.919,6.0,0.519,0.0,0.0,3.936,3.768,3.675,32.354,2.705,2.151,6.777,0.976,18.093,14.298,2.666,2.847,2.806,29.0,16.0,13.0,58.0,3.0,0.0,0.0,7.0,0.0,15.0,20.0,26.0,42.0,4.0,11.0,34.0,20.0,11.0,7.0,31.0,12.0,2.0,0.733,1.321,0.65,0.0,2.0,1.0,61.161,45.0,47.486,5.0,0.475,0.0,0.0,3.179,3.345,3.296,0
CHI,2020,CHI,2020020099,CHI,NSH,AWAY,20210126,Team Level,5on4,1.0,1.0,1.0,122.0,1.722,0.887,0.067,0.212,0.029,0.492,0.313,0.882,0.887,0.882,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.006,0.0,0.881,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.022,0.881,0.881,0.027,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
COL,2009,COL,2009020543,COL,ANA,HOME,20091222,Team Level,5on5,0.3683,0.3333,0.3731,2871.0,17.283,1.376,1.181,3.894,0.593,9.963,7.993,1.37,1.372,1.366,15.0,10.0,3.0,28.0,2.0,0.0,0.0,7.0,0.0,6.0,10.0,13.0,23.0,4.0,11.0,28.0,11.0,10.0,9.0,20.0,4.0,1.0,0.674,0.47,0.232,1.0,1.0,0.0,28.648,25.0,25.729,4.0,0.241,0.0,0.0,1.617,1.612,1.604,29.635,2.36,2.014,6.625,0.967,17.262,12.772,2.313,2.384,2.337,33.0,9.0,14.0,56.0,3.0,3.0,0.0,10.0,2.0,13.0,11.0,30.0,39.0,4.0,11.0,20.0,20.0,2.0,6.0,33.0,7.0,2.0,1.047,0.887,0.426,1.0,2.0,0.0,54.89,42.0,41.096,1.0,0.414,0.487,0.487,2.287,2.315,2.277,0
ANA,2022,ANA,2022021024,ANA,VAN,AWAY,20230308,Team Level,5on5,0.3389,0.419,0.3797,3452.0,21.706,1.198,1.357,5.29,0.673,11.677,9.805,1.18,1.275,1.256,21.0,9.0,14.0,44.0,2.0,1.0,1.0,6.0,1.0,7.0,13.0,19.0,28.0,0.0,0.0,18.0,12.0,3.0,3.0,25.0,4.0,1.0,0.478,0.434,0.285,0.0,1.0,1.0,46.004,30.0,31.272,3.0,0.281,0.285,0.285,1.193,1.274,1.26,32.163,2.337,2.365,7.416,1.132,21.195,14.555,2.305,2.224,2.194,32.0,17.0,12.0,61.0,1.0,2.0,0.0,9.0,2.0,15.0,20.0,31.0,48.0,1.0,2.0,23.0,21.0,4.0,1.0,38.0,10.0,1.0,1.013,0.996,0.327,0.0,1.0,0.0,58.621,49.0,47.163,0.0,0.48,0.337,0.337,2.479,2.358,2.326,0
DET,2023,DET,2023020519,DET,NJD,AWAY,20231223,Team Level,5on5,0.3629,0.4133,0.3898,2627.0,16.885,1.067,0.958,4.245,0.56,8.877,7.292,1.053,1.144,1.129,16.0,7.0,8.0,31.0,2.0,0.0,0.0,4.0,1.0,5.0,11.0,14.0,21.0,3.0,6.0,18.0,11.0,4.0,3.0,18.0,5.0,0.0,0.46,0.607,0.0,1.0,1.0,0.0,32.801,23.0,24.268,2.0,0.195,0.0,0.0,1.262,1.353,1.334,26.516,1.873,1.613,6.663,0.814,14.427,10.609,1.819,1.775,1.724,22.0,14.0,8.0,44.0,3.0,1.0,0.0,4.0,1.0,12.0,15.0,19.0,33.0,3.0,6.0,17.0,16.0,3.0,1.0,30.0,5.0,1.0,0.835,0.684,0.354,1.0,2.0,0.0,41.857,36.0,34.44,0.0,0.331,0.354,0.354,1.85,1.749,1.713,0
S.J,2008,S.J,2008030151,S.J,ANA,HOME,20090416,Team Level,5on5,0.5802,0.5231,0.5217,2444.0,16.947,1.465,1.124,3.853,0.546,10.023,6.99,1.405,1.389,1.333,20.0,4.0,10.0,34.0,0.0,2.0,0.0,5.0,1.0,4.0,12.0,20.0,24.0,4.0,8.0,12.0,32.0,7.0,17.0,19.0,4.0,1.0,0.544,0.573,0.347,0.0,0.0,0.0,32.54,24.0,22.87,4.0,0.227,0.41,0.41,1.282,1.213,1.204,15.004,1.06,0.938,3.58,0.515,8.845,7.062,1.054,1.127,1.12,12.0,10.0,9.0,31.0,1.0,0.0,0.0,5.0,0.0,9.0,7.0,11.0,21.0,5.0,10.0,19.0,26.0,4.0,11.0,19.0,3.0,0.0,0.717,0.343,0.0,1.0,0.0,0.0,32.682,22.0,23.136,4.0,0.193,0.0,0.0,1.254,1.332,1.324,1
BUF,2019,BUF,2019020575,BUF,OTT,AWAY,20191223,Team Level,all,0.5256,0.5909,0.6105,3600.0,40.484,3.308,2.864,9.269,1.288,25.07,16.201,3.176,3.366,3.233,44.0,14.0,20.0,78.0,1.0,2.0,0.0,14.0,1.0,21.0,19.0,43.0,57.0,2.0,4.0,30.0,22.0,5.0,9.0,47.0,9.0,2.0,1.59,1.053,0.666,0.0,1.0,0.0,78.142,58.0,57.936,4.0,0.636,0.261,0.261,3.683,3.749,3.622,25.458,2.986,1.874,5.861,0.896,14.825,10.558,2.884,2.94,2.839,30.0,7.0,17.0,54.0,3.0,1.0,1.0,6.0,0.0,14.0,13.0,27.0,34.0,2.0,4.0,32.0,30.0,7.0,14.0,26.0,7.0,4.0,0.637,0.969,1.38,0.0,1.0,2.0,53.516,37.0,37.011,12.0,0.418,0.209,0.209,3.195,3.142,3.026,0
ARI,2014,ARI,2014020895,ARI,NYI,AWAY,20150224,Team Level,4on5,0.0722,0.1111,0.125,120.0,0.741,0.041,0.025,0.116,0.022,0.218,0.578,0.041,0.041,0.041,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.005,0.0,0.0,0.047,0.047,0.047,4.286,0.527,0.411,0.861,0.191,3.374,1.636,0.463,0.527,0.463,5.0,2.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,5.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,0.222,0.304,0.0,0.0,0.0,0.0,8.0,7.0,7.0,0.0,0.1,0.0,0.0,0.627,0.627,0.551,0
EDM,2023,EDM,2023020569,EDM,ANA,AWAY,20231231,Team Level,5on5,0.561,0.5684,0.5775,2754.0,30.276,3.083,2.247,6.532,0.996,16.124,12.018,2.972,3.467,3.344,33.0,8.0,13.0,54.0,7.0,5.0,0.0,3.0,0.0,17.0,9.0,26.0,34.0,7.0,17.0,16.0,14.0,4.0,6.0,30.0,10.0,1.0,1.265,1.451,0.367,5.0,2.0,0.0,62.306,41.0,46.359,2.0,0.468,0.722,0.722,2.829,3.192,3.133,21.322,2.413,1.438,5.571,0.803,11.277,8.498,2.262,2.2,2.06,21.0,9.0,11.0,41.0,2.0,4.0,1.0,3.0,0.0,8.0,13.0,19.0,28.0,6.0,17.0,15.0,28.0,4.0,4.0,19.0,8.0,3.0,0.36,0.968,1.084,0.0,1.0,1.0,36.645,30.0,27.321,2.0,0.3,1.202,1.202,1.511,1.364,1.357,0
CBJ,2015,CBJ,2015020337,CBJ,PIT,HOME,20151127,Team Level,5on5,0.6577,0.5352,0.5574,2736.0,24.942,2.217,1.564,6.075,0.834,13.288,10.023,2.005,2.109,1.907,30.0,4.0,4.0,38.0,1.0,3.0,1.0,4.0,2.0,11.0,13.0,29.0,33.0,5.0,10.0,23.0,30.0,4.0,2.0,26.0,6.0,2.0,0.877,0.813,0.526,0.0,0.0,1.0,36.695,34.0,32.856,1.0,0.323,0.699,0.699,1.84,1.754,1.672,19.183,1.154,1.123,4.861,0.657,10.824,8.381,1.13,1.211,1.185,20.0,7.0,6.0,33.0,0.0,1.0,0.0,5.0,2.0,10.0,9.0,20.0,27.0,6.0,12.0,19.0,23.0,3.0,3.0,24.0,2.0,1.0,0.696,0.179,0.279,0.0,0.0,0.0,34.056,27.0,27.823,0.0,0.227,0.279,0.279,1.103,1.157,1.148,0
STL,2013,STL,2013020516,STL,S.J,HOME,20131217,Team Level,all,0.544,0.5421,0.4667,3600.0,25.344,2.19,1.909,5.166,0.748,13.903,11.084,2.093,2.017,1.93,22.0,13.0,23.0,58.0,2.0,1.0,0.0,4.0,1.0,11.0,16.0,20.0,33.0,4.0,8.0,29.0,21.0,9.0,3.0,27.0,6.0,2.0,0.914,0.674,0.601,2.0,0.0,0.0,52.828,35.0,32.345,3.0,0.41,0.378,0.378,2.222,2.063,2.012,28.657,1.836,1.928,6.639,0.977,15.8,12.82,1.724,2.026,1.901,27.0,13.0,9.0,49.0,4.0,2.0,1.0,4.0,0.0,11.0,19.0,23.0,36.0,4.0,8.0,25.0,11.0,4.0,4.0,33.0,5.0,2.0,0.786,0.602,0.448,1.0,2.0,1.0,54.491,40.0,44.002,4.0,0.417,0.448,0.448,1.805,1.983,1.948,0
T.B,2018,T.B,2018020644,T.B,S.J,AWAY,20190105,Team Level,5on4,0.4839,0.875,0.8333,240.0,3.752,0.06,0.384,1.024,0.126,2.269,1.138,0.059,0.06,0.059,4.0,1.0,2.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,0.0,0.115,0.022,0.022,0.153,0.153,0.148,0.71,0.064,0.049,0.116,0.019,0.237,0.516,0.064,0.064,0.064,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.074,0.074,0.074,0
DET,2015,DET,2015021093,DET,T.B,AWAY,20160322,Team Level,5on5,0.3414,0.5443,0.4848,2911.0,22.606,1.633,1.543,5.663,0.697,12.932,9.533,1.617,1.616,1.6,23.0,9.0,11.0,43.0,1.0,1.0,0.0,10.0,0.0,5.0,15.0,22.0,31.0,5.0,13.0,28.0,21.0,5.0,5.0,24.0,7.0,1.0,0.664,0.708,0.26,0.0,1.0,0.0,40.089,32.0,30.73,2.0,0.317,0.26,0.26,1.689,1.677,1.66,23.818,3.15,1.972,5.225,0.865,13.14,9.649,2.963,3.192,3.004,26.0,8.0,2.0,36.0,5.0,5.0,3.0,8.0,0.0,9.0,7.0,21.0,29.0,4.0,11.0,15.0,13.0,3.0,7.0,17.0,13.0,4.0,0.514,1.407,1.229,1.0,1.0,3.0,38.704,34.0,35.343,6.0,0.414,1.339,1.339,2.225,2.256,2.192,0
TBL,2022,TBL,2022030126,TBL,TOR,HOME,20230429,Team Level,4on5,0.9082,0.25,0.4,240.0,1.58,0.287,0.085,0.308,0.06,0.397,0.863,0.272,0.287,0.272,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.066,0.0,0.221,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.019,0.221,0.221,0.085,0.085,0.085,1.868,0.029,0.218,0.329,0.068,1.625,0.732,0.028,0.029,0.028,1.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.062,0.0,0.0,0.09,0.09,0.09,1
NSH,2012,NSH,2012020574,NSH,CHI,AWAY,20130407,Team Level,5on4,1.0,1.0,1.0,120.0,2.11,0.024,0.15,0.524,0.066,1.456,0.78,0.024,0.024,0.024,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.036,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CAR,2009,CAR,2009020959,CAR,FLA,AWAY,20100306,Team Level,5on5,0.4601,0.6216,0.5593,2512.0,22.604,1.234,1.432,5.121,0.686,13.303,11.224,1.218,1.237,1.222,22.0,11.0,13.0,46.0,1.0,1.0,1.0,5.0,1.0,13.0,12.0,21.0,32.0,3.0,12.0,15.0,21.0,0.0,2.0,30.0,2.0,1.0,0.83,0.193,0.21,0.0,0.0,1.0,44.793,33.0,32.155,2.0,0.29,0.21,0.21,1.313,1.318,1.308,18.449,1.448,1.236,4.273,0.587,10.684,7.772,1.32,1.419,1.297,19.0,7.0,2.0,28.0,3.0,2.0,0.0,5.0,0.0,7.0,9.0,16.0,23.0,5.0,16.0,25.0,20.0,5.0,7.0,22.0,2.0,2.0,0.732,0.179,0.537,2.0,1.0,0.0,28.696,26.0,26.446,4.0,0.252,0.537,0.537,1.163,1.155,1.131,0
VAN,2017,VAN,2017020740,VAN,L.A,HOME,20180123,Team Level,4on5,0.0236,0.3571,0.3,421.0,1.314,0.017,0.041,0.164,0.041,0.258,2.48,0.017,0.017,0.017,3.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,3.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.012,0.0,0.0,0.03,0.03,0.03,4.87,0.702,0.47,0.783,0.147,3.144,1.755,0.598,0.702,0.598,5.0,2.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.056,0.0,0.646,0.0,0.0,1.0,9.0,7.0,7.0,0.0,0.142,0.0,0.0,0.843,0.843,0.732,0
DET,2009,DET,2009021175,DET,PHI,AWAY,20100404,Team Level,5on4,0.7347,0.9091,0.8571,360.0,4.646,0.108,0.426,1.065,0.15,2.728,1.524,0.104,0.108,0.104,3.0,3.0,4.0,10.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,0.0,0.099,0.036,0.036,0.171,0.171,0.163,0.73,0.039,0.04,0.081,0.021,0.268,0.551,0.039,0.039,0.039,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.008,0.0,0.0,0.048,0.048,0.048,0
NYI,2013,NYI,2013020903,NYI,N.J,HOME,20140301,Team Level,all,0.3351,0.4,0.3623,3600.0,18.738,2.335,1.528,3.729,0.581,9.148,7.68,2.256,2.208,2.134,19.0,6.0,15.0,40.0,1.0,2.0,0.0,2.0,4.0,6.0,10.0,18.0,24.0,10.0,26.0,35.0,47.0,8.0,7.0,12.0,10.0,3.0,0.346,1.279,0.71,0.0,0.0,1.0,37.167,25.0,23.545,3.0,0.338,0.32,0.32,2.353,2.225,2.204,32.059,4.633,2.337,6.306,1.064,17.411,12.248,4.563,4.874,4.798,35.0,9.0,16.0,60.0,6.0,2.0,1.0,7.0,3.0,11.0,15.0,29.0,38.0,4.0,11.0,37.0,20.0,5.0,7.0,31.0,8.0,5.0,0.901,1.019,2.714,2.0,0.0,4.0,66.459,44.0,47.545,4.0,0.585,1.272,1.272,3.947,4.17,4.126,0
NYI,2019,NYI,2019020614,NYI,WSH,AWAY,20191231,Team Level,5on4,0.2083,0.6667,0.5,240.0,1.333,0.01,0.106,0.316,0.04,1.014,0.513,0.01,0.01,0.01,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.026,0.0,0.0,0.036,0.036,0.036,1.52,0.038,0.058,0.212,0.032,0.478,1.182,0.035,0.038,0.035,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.013,0.0,0.0,0.051,0.051,0.047,0
MTL,2017,MTL,2017020570,MTL,T.B,AWAY,20171228,Team Level,5on4,1.0,1.0,1.0,259.0,4.274,0.951,0.27,0.881,0.119,2.531,1.248,0.937,0.951,0.937,6.0,0.0,2.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,0.05,0.0,0.901,0.0,0.0,1.0,8.0,6.0,6.0,0.0,0.067,0.901,0.901,0.117,0.117,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NYR,2023,NYR,2023021168,NYR,ARI,AWAY,20240330,Team Level,4on5,0.1294,0.2308,0.1818,301.0,1.165,0.15,0.148,0.217,0.073,0.628,0.784,0.15,0.15,0.15,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01,0.14,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.033,0.0,0.0,0.183,0.183,0.183,6.694,1.009,0.59,1.439,0.213,3.893,1.857,0.893,1.009,0.893,7.0,2.0,1.0,10.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,6.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,4.0,1.0,0.216,0.459,0.334,0.0,1.0,0.0,10.0,9.0,9.0,0.0,0.142,0.334,0.334,0.817,0.817,0.777,0
CAR,2018,CAR,2018020392,CAR,ANA,HOME,20181130,Team Level,4on5,0.9618,0.5,0.5,296.0,2.561,0.478,0.188,0.353,0.08,0.651,1.249,0.433,0.478,0.433,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,1.0,1.0,0.04,0.167,0.272,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.043,0.272,0.272,0.25,0.25,0.246,1.78,0.019,0.172,0.375,0.06,1.426,0.949,0.019,0.019,0.019,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.042,0.0,0.0,0.06,0.06,0.06,0
PIT,2008,PIT,2008030411,PIT,DET,AWAY,20090530,Team Level,5on5,0.6585,0.4563,0.4819,3122.0,30.071,3.446,1.875,6.768,0.889,15.14,11.882,3.354,3.541,3.447,29.0,11.0,7.0,47.0,1.0,1.0,1.0,10.0,1.0,12.0,15.0,28.0,39.0,1.0,2.0,14.0,35.0,7.0,8.0,25.0,12.0,3.0,0.715,1.571,1.159,0.0,0.0,1.0,46.8,40.0,39.908,5.0,0.389,0.528,1.127,2.709,2.77,2.72,31.163,1.787,1.59,7.507,1.171,16.976,13.97,1.725,1.763,1.7,28.0,15.0,13.0,56.0,3.0,1.0,1.0,5.0,1.0,15.0,18.0,25.0,40.0,2.0,4.0,32.0,41.0,5.0,19.0,37.0,5.0,1.0,0.947,0.55,0.291,1.0,1.0,1.0,56.352,43.0,43.269,12.0,0.319,0.291,0.291,1.816,1.78,1.76,1
EDM,2011,EDM,2011020894,EDM,CGY,AWAY,20120221,Team Level,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
